#{"t_start": 1685220598.6028614, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
8.0,30,893.781554,True
6.2,48,894.609001,True
-7.0,70,895.881781,False
-7.0,70,897.173139,False
8.5,25,897.603779,True
7.6,34,898.188393,True
-7.0,70,899.532808,False
8.6,24,899.961036,True
7.8,32,900.508141,True
-7.0,70,901.834632,False
-7.0,70,903.179679,False
-7.0,70,904.478085,False
-7.0,70,905.781595,False
-7.0,70,907.049921,False
-7.0,70,965.070384,False
6.1,49,966.01047,True
8.8,22,966.418598,True
8.5,25,966.872864,True
8.0,30,967.421557,True
6.1,49,968.432131,True
7.8,32,969.012772,True
8.1,29,969.548506,True
8.6,24,969.993007,True
5.1,59,971.018824,True
7.1,39,971.670742,True
7.8,32,972.193541,True
8.2,28,972.697157,True
7.3,37,973.344344,True
7.9,31,973.898202,True
6.8,42,974.590321,True
8.4,26,975.028377,True
6.1,49,975.874043,True
8.8,22,976.238324,True
5.8,52,977.138583,True
4.4,66,978.34876,True
8.4,26,978.92543,True
-7.0,70,980.325934,False
6.3,47,981.181491,True
-7.0,70,982.409255,False
-7.0,70,983.625026,False
6.5,45,984.450135,True
6.9,41,985.193364,True
7.7,33,985.784119,True
8.2,28,986.285222,True
7.0,40,987.008757,True
7.2,38,987.68274,True
6.4,46,988.477687,True
5.2,58,989.492357,True
7.4,36,990.244895,True
6.4,46,991.049744,True
6.4,46,991.825295,True
7.9,31,992.373232,True
7.4,36,992.984089,True
7.5,35,993.614693,True
6.4,46,994.413854,True
7.7,33,994.991205,True
6.3,47,995.812942,True
6.0,50,996.657061,True
7.5,35,997.261747,True
8.7,23,997.667796,True
9.1,19,998.004502,True
6.5,45,998.825403,True
6.4,46,999.641261,True
-7.0,70,1000.859131,False
7.5,35,1059.361568,True
8.4,26,1059.837032,True
7.1,39,1060.536645,True
7.7,33,1061.186833,True
8.9,21,1061.569489,True
7.9,31,1062.120116,True
8.8,22,1062.5242,True
8.5,25,1062.978708,True
8.8,22,1063.377173,True
8.2,28,1063.884889,True
8.1,29,1064.412039,True
7.9,31,1064.97771,True
8.1,29,1065.481429,True
8.5,25,1065.901407,True
