#{"t_start": 1683819387.3370466, "env_id": "sokoban_solver-turtle-v0"}
r,l,t,sol-length,crate,solver
7.0,12,7352.722684,0,1,0
27.0,12,7370.683766,0,2,0
26.0,15,7391.004632,0,2,0
19.0,20,7456.459102,0,1,0
25.0,4,7488.771633,10,1,0.05
19.0,25,7515.959697,0,1,0
2.0,18,7540.23998,8,1,0.75
15.0,18,7546.602395,0,2,0
14.0,11,7561.034476,0,1,0
12.0,21,7577.297359,0,2,0
13.0,17,7591.197459,0,2,0
9.0,13,7604.542264,0,2,0
14.0,15,7617.40341,0,1,0
3.0,11,7619.679515,2,1,0.9
15.0,12,7635.141244,0,1,0
2.0,24,7702.747438,0,2,0
7.0,29,7742.764745,0,2,0
15.0,14,7743.22227,0,2,0
0.0,36,7767.94825,0,3,0
14.0,20,7784.338528,0,1,0
7.0,14,7802.64636,0,1,0
30.0,17,7826.438282,16,3,0.5
17.0,22,7902.358925,0,2,0
9.0,18,7965.101588,0,2,0
11.0,13,7979.796725,0,1,0
6.0,41,8089.950361,0,0,0
3.0,27,8136.919257,0,1,0
6.0,30,8186.764216,0,2,0
19.0,14,8203.031275,0,1,0
9.0,9,8222.24576,0,1,0
14.0,42,8262.121162,0,2,0
4.0,17,8294.219297,0,2,0
21.0,16,8336.04229,0,1,0
14.0,17,8369.374884,0,1,0
9.0,15,8428.011958,0,2,0
4.0,23,8477.593589,0,2,0
10.0,10,8490.653445,0,1,0
12.0,15,8498.925575,0,2,0
24.0,14,8499.089349,0,1,0
12.0,28,8512.44863,0,2,0
10.0,21,8537.029315,0,1,0
1.0,17,8553.406669,0,1,0
14.0,34,8610.514496,0,3,0
7.0,16,8611.627413,0,2,0
21.0,23,8672.483657,0,2,0
11.0,16,8720.057306,0,2,0
28.0,15,8720.174298,0,1,0
10.0,22,8746.540661,0,1,0
19.0,13,8768.155059,0,1,0
14.0,22,8877.868559,0,2,0
14.0,16,8922.12746,0,2,0
21.0,26,8970.575909,12,1,0.0
24.0,14,9003.587934,0,1,0
10.0,17,9007.432328,0,3,0
7.0,10,9022.922744,0,2,0
20.0,30,9067.637313,0,1,0
5.0,20,9067.898721,0,1,0
17.0,23,9080.725919,0,2,0
-3.0,29,9175.669707,12,1,1.0
21.0,23,9186.585872,0,2,0
-3.0,11,9202.060807,0,2,0
24.0,19,9242.445123,0,1,0
10.0,12,9242.713534,0,0,0
20.0,20,9284.051371,0,0,0
9.0,16,9316.879394,0,3,0
15.0,15,9350.819619,0,1,0
20.0,11,9350.933693,0,2,0
15.0,19,9351.079301,0,1,0
10.0,15,9383.069363,0,1,0
17.0,17,9383.180581,0,3,0
19.0,24,9415.34776,0,2,0
0.0,25,9448.812414,0,2,0
34.0,19,9500.90736,10,1,0.0
24.0,16,9511.139732,4,2,0.45
14.0,35,9578.26007,0,2,0
8.0,14,9578.422681,0,1,0
16.0,13,9626.632009,0,2,0
14.0,10,9637.777775,0,1,0
10.0,15,9673.126545,0,2,0
17.0,22,9677.200022,0,1,0
11.0,13,9718.300911,3,1,0.55
9.0,34,9768.975861,0,2,0
4.0,18,9769.166096,0,1,0
12.0,20,9773.601082,0,2,0
10.0,35,9793.415694,0,1,0
9.0,27,9858.280858,0,2,0
8.0,32,9961.311215,0,2,0
14.0,14,9961.467204,0,1,0
19.0,19,10009.743252,0,1,0
5.0,39,10112.028748,0,2,0
0.0,11,10125.223424,0,1,0
19.0,14,10125.434672,0,1,0
19.0,15,10156.535438,0,1,0
7.0,21,10192.696352,0,2,0
10.0,13,10192.804481,0,2,0
12.0,21,10241.602972,0,3,0
7.0,19,10286.049407,0,1,0
31.0,25,10317.902335,0,2,0
19.0,12,10364.61161,0,1,0
12.0,11,10380.780332,0,3,0
29.0,26,10443.98328,0,1,0
7.0,17,10505.647127,0,1,0
9.0,28,10560.67343,0,2,0
13.0,26,10593.710402,0,1,0
7.0,15,10625.004452,0,1,0
14.0,14,10641.380476,0,3,0
18.0,11,10641.473479,0,2,0
7.0,34,10710.437643,0,2,0
17.0,21,10765.054485,0,2,0
11.0,27,10839.915727,0,2,0
11.0,17,10862.158527,0,1,0
7.0,30,10900.789966,0,2,0
12.0,23,10935.978755,0,1,0
8.0,22,10952.206672,0,1,0
19.0,13,10971.762372,0,1,0
20.0,13,10987.902156,0,2,0
10.0,24,11032.141474,0,1,0
5.0,25,11049.840732,0,2,0
15.0,19,11083.299786,0,1,0
15.0,25,11101.828583,0,1,0
17.0,10,11133.93131,0,2,0
10.0,13,11141.884022,0,0,0
15.0,13,11158.013663,0,0,0
-8.0,29,11237.694979,2,1,0.7
5.0,16,11254.161691,0,3,0
28.0,18,11303.844381,11,2,0.0
7.0,23,11309.301287,0,2,0
21.0,15,11338.661648,0,1,0
12.0,42,11379.119665,0,3,0
11.0,14,11379.224685,0,2,0
13.0,28,11490.524975,9,1,0.55
12.0,52,11591.16691,0,1,0
15.0,15,11591.296124,0,1,0
15.0,22,11639.5631,0,2,0
14.0,10,11654.310789,0,1,0
17.0,21,11670.701833,0,3,0
24.0,16,11690.620154,0,2,0
12.0,45,11782.907245,0,2,0
12.0,18,11793.180592,0,2,0
21.0,10,11793.280417,0,2,0
17.0,12,11809.699987,0,2,0
10.0,13,11841.030726,0,0,0
18.0,17,11909.492129,0,2,0
10.0,14,11949.643424,0,1,0
20.0,10,11949.736442,0,1,0
15.0,14,11986.28968,0,1,0
14.0,15,11999.318675,0,1,0
10.0,38,12037.24892,0,2,0
16.0,12,12037.428384,0,2,0
8.0,14,12091.248737,0,1,0
9.0,23,12111.941974,0,1,0
31.0,14,12113.029357,0,2,0
15.0,22,12145.432288,6,1,0.0
6.0,11,12161.522989,0,1,0
12.0,27,12210.179471,0,2,0
17.0,14,12235.119795,0,2,0
7.0,24,12268.126113,0,0,0
9.0,33,12300.899899,0,3,0
2.0,36,12430.93986,0,2,0
17.0,26,12482.179699,0,2,0
5.0,22,12530.470408,0,1,0
10.0,11,12530.605118,0,1,0
10.0,13,12536.355485,0,2,0
14.0,12,12536.469465,0,1,0
23.0,13,12564.252159,0,1,0
9.0,15,12615.728534,0,1,0
14.0,26,12649.515647,0,1,0
5.0,27,12694.906394,0,0,0
17.0,22,12711.349269,0,2,0
7.0,28,12714.407445,0,2,0
4.0,27,12766.332907,7,2,0.95
9.0,18,12796.550754,0,2,0
14.0,31,12878.692443,0,1,0
31.0,5,12894.321,16,1,0.05
20.0,16,12894.501519,0,2,0
10.0,28,12975.845544,0,3,0
30.0,13,13024.447817,13,1,0.1
14.0,12,13027.683756,0,1,0
15.0,14,13029.27938,0,2,0
24.0,19,13045.416609,0,2,0
22.0,13,13045.554879,0,2,0
12.0,16,13062.109075,0,1,0
10.0,10,13094.300127,0,2,0
12.0,24,13143.308295,0,1,0
24.0,28,13191.429671,0,1,0
12.0,19,13240.96355,0,2,0
7.0,13,13273.687676,0,2,0
5.0,18,13339.962633,0,0,0
12.0,48,13394.820215,0,4,0
3.0,14,13427.277679,0,1,0
5.0,19,13443.945768,0,2,0
2.0,17,13465.379448,4,1,0.8
15.0,14,13482.156253,0,3,0
5.0,73,13719.790902,0,2,0
19.0,12,13768.427313,0,1,0
16.0,24,13815.441454,0,1,0
2.0,35,13850.996549,0,2,0
19.0,15,13930.711882,9,1,0.05
19.0,12,13930.892737,0,1,0
9.0,23,13931.179344,0,1,0
10.0,20,13947.101363,0,2,0
14.0,57,14045.897209,0,3,0
19.0,11,14046.013796,0,1,0
14.0,14,14050.986697,0,1,0
5.0,22,14092.665277,0,1,0
20.0,23,14109.017416,0,1,0
13.0,38,14148.85634,0,3,0
21.0,30,14267.904076,0,2,0
7.0,48,14355.451111,0,2,0
25.0,14,14419.763542,0,2,0
10.0,13,14473.526205,0,1,0
19.0,18,14536.003504,0,3,0
0.0,30,14573.743573,0,2,0
9.0,38,14589.496351,0,1,0
7.0,38,14660.153083,0,1,0
2.0,83,14839.497963,0,2,0
10.0,30,14902.510451,0,2,0
15.0,21,14946.652107,0,2,0
12.0,11,14947.094759,0,2,0
9.0,26,15029.076947,0,1,0
11.0,9,15074.474999,0,2,0
31.0,15,15138.360899,6,1,0.05
17.0,15,15151.582049,0,2,0
5.0,22,15200.444689,0,2,0
-56.0,10,15234.646208,4,1,1.0
7.0,37,15283.61245,0,2,0
21.0,18,15298.845448,0,2,0
17.0,10,15298.928164,0,1,0
14.0,17,15314.500683,0,1,0
19.0,13,15327.449466,0,2,0
19.0,25,15366.343231,0,1,0
10.0,16,15370.231182,0,2,0
0.0,12,15371.138427,1,1,1.0
14.0,21,15451.036289,0,2,0
11.0,12,15465.821084,0,2,0
-1.0,32,15527.633122,5,1,1.0
22.0,14,15589.726938,0,2,0
7.0,15,15622.10031,0,2,0
22.0,22,15638.419646,0,2,0
17.0,14,15653.37117,0,1,0
10.0,16,15677.77309,0,1,0
5.0,14,15707.481255,0,1,0
0.0,34,15768.231295,0,3,0
10.0,26,15836.555596,0,1,0
12.0,15,15865.99951,0,2,0
24.0,22,15882.984976,0,2,0
10.0,17,15924.017199,0,0,0
12.0,12,15939.742798,0,2,0
15.0,18,15955.849152,0,4,0
3.0,15,15982.217299,0,2,0
12.0,25,16031.580826,0,1,0
5.0,18,16061.582558,0,1,0
5.0,15,16125.999636,0,3,0
19.0,15,16126.157169,0,2,0
10.0,18,16191.642426,0,2,0
